,name,surname,address,postal_code,city,province,timestamp,type,amount_kg,price_kg,sales_amount
15,Thomas,Pena,"Calle F, nº 76",28001,"Acebeda, La",Madrid,2022-02-04 00:42:30,8,5.0,29.9,149.5
16,Octavius,Snow,"Calle R, nº 220",50122,Grisel,Zaragoza,2022-06-11 05:57:54,8,1.5,20.9,31.349999999999998
17,Uma,Wilkins,"Calle A, nº 82",39017,Campoo de Yuso,Cantabria,2022-10-21 11:10:45,8,0.75,29.8,22.35
18,Kenneth,Glover,"Calle N, nº 69",48039,Garai,Bizkaia,2022-02-09 21:35:00,8,1.0,18.7,18.7
19,Priscilla,Wilson,"Calle I, nº 348",45014,Añover de Tajo,Toledo,2022-09-30 23:18:23,8,0.75,18.6,13.950000000000001
20,Kane,Frazier,"Calle V, nº 286",17203,Ultramort,Girona,2022-03-20 21:30:02,8,1.0,19.5,19.5
21,Keith,Bolton,"Calle R, nº 213",19147,Huérmeces del Cerro,Guadalajara,2022-04-10 09:10:29,8,0.75,21.9,16.424999999999997
22,Craig,Waters,"Calle Q, nº 269",11027,"Puerto de Santa María, El",Cádiz,2022-03-19 11:39:27,8,1.25,15.4,19.25
23,Brent,Rosa,"Calle M, nº 245",31169,Milagro,Navarra,2022-08-10 18:48:41,8,2.0,16.0,32.0
24,Samson,Fulton,"Calle F, nº 222",52001,Melilla,Melilla,2022-02-28 06:30:16,8,1.25,27.5,34.375
25,Silas,Newman,"Calle D, nº 205",20019,Beasain,Gipuzkoa,2022-09-05 10:43:48,8,2.0,24.6,49.2
26,Hop,Alvarez,"Calle Z, nº 317",24107,Pajares de los Oteros,León,2022-08-07 09:14:04,8,3.0,24.6,73.80000000000001
27,Phelan,Mays,"Calle Y, nº 45",06084,Mirandilla,Badajoz,2022-12-05 18:43:50,8,3.0,22.0,66.0
28,Renee,Hopper,"Calle F, nº 249",02071,San Pedro,Albacete,2022-02-13 10:46:21,8,1.0,34.1,34.1
29,Brynn,Marsh,"Calle T, nº 33",05257,Villafranca de la Sierra,Ávila,2022-03-21 05:00:55,8,2.0,27.5,55.0
30,Tate,Dale,"Calle L, nº 200",46192,Petrés,Valencia,2022-10-29 23:50:49,8,0.75,22.0,16.5
31,Joseph,Christensen,"Calle R, nº 119",40129,Montejo de Arévalo,Segovia,2022-01-28 08:23:29,8,0.25,34.8,8.7
32,Asher,Cox,"Calle U, nº 375",39090,Udías,Cantabria,2022-11-20 05:28:36,8,1.0,20.7,20.7
33,Hedy,Brewer,"Calle U, nº 145",23054,Larva,Jaén,2022-07-21 20:47:22,8,5.0,24.0,120.0
34,Elijah,Hays,"Calle D, nº 347",17112,Ogassa,Girona,2022-05-22 04:15:10,8,1.0,30.8,30.8
35,Claudia,Le,"Calle B, nº 319",17086,"Jonquera, La",Girona,2022-05-16 13:24:24,8,1.25,23.4,29.25
36,Bell,Scott,"Calle B, nº 161",41071,Paradas,Sevilla,2022-01-19 19:04:29,8,0.25,26.6,6.65
37,Dale,George,"Calle Y, nº 341",16008,Alcalá de la Vega,Cuenca,2022-02-16 05:20:25,8,2.0,33.5,67.0
38,Bert,Cain,"Calle R, nº 60",16132,Mota de Altarejos,Cuenca,2022-09-03 17:37:21,8,3.0,20.0,60.0
39,Coby,Huber,"Calle V, nº 167",12033,Cabanes,Castellón,2022-11-13 01:48:54,8,1.25,26.7,33.375
40,Zachery,Humphrey,"Calle A, nº 360",10147,Piornal,Cáceres,2022-08-13 22:41:39,8,0.75,24.2,18.15
41,Quyn,Grimes,"Calle X, nº 46",49207,Santovenia,Zamora,2022-12-21 06:33:48,8,2.0,34.5,69.0
42,Bruce,Ortega,"Calle M, nº 77",18023,Baza,Granada,2022-11-11 18:47:02,8,1.25,27.1,33.875
43,Clio,Vincent,"Calle B, nº 121",37101,Cerralbo,Salamanca,2022-09-10 23:26:55,8,0.5,22.0,11.0
44,Ferdinand,Foreman,"Calle X, nº 58",24134,"Robla, La",León,2022-09-10 07:18:24,8,1.5,33.9,50.849999999999994
45,Shellie,Cortez,"Calle U, nº 122",43071,Horta de Sant Joan,Tarragona,2022-08-23 21:37:02,8,0.5,17.8,8.9
46,David,Blackburn,"Calle J, nº 105",08167,Polinyà,Barcelona,2022-03-26 06:34:21,8,1.0,22.3,22.3
47,Kathleen,Wilkinson,"Calle R, nº 329",08211,Sant Feliu de Llobregat,Barcelona,2022-10-09 22:25:47,8,4.0,30.9,123.6
48,Martin,Sims,"Calle J, nº 257",09464,Villatuelda,Burgos,2022-02-03 14:37:06,8,2.0,24.3,48.6
49,Medge,Huff,"Calle X, nº 317",49105,Maire de Castroponce,Zamora,2022-08-24 02:30:11,8,4.0,26.3,105.2
50,Reese,Morgan,"Calle K, nº 55",29086,Sayalonga,Málaga,2022-02-17 22:48:11,8,0.75,32.4,24.299999999999997
51,Buffy,Leonard,"Calle Q, nº 334",44141,Lledó,Teruel,2022-07-09 15:36:45,8,2.0,23.1,46.2
52,Amity,Shepherd,"Calle I, nº 19",03135,"Vall d'Ebo, la",Alicante,2022-02-04 20:13:00,8,1.5,23.9,35.849999999999994
53,Carol,English,"Calle W, nº 347",24176,Valdefuentes del Páramo,León,2022-05-25 19:41:09,8,0.75,19.5,14.625
54,Yuli,Bates,"Calle U, nº 347",46103,Quartell,Valencia,2022-09-27 21:00:16,8,2.0,31.5,63.0
55,Adam,Moore,"Calle U, nº 391",13062,Picón,Ciudad Real,2022-10-31 20:22:50,8,2.0,31.2,62.4
56,Aristotle,Rivers,"Calle E, nº 146",44002,Abejuela,Teruel,2022-02-27 03:24:49,8,2.0,19.8,39.6
57,Ayanna,Cantu,"Calle V, nº 23",45079,"Iglesuela del Tiétar, La",Toledo,2022-06-27 17:16:37,8,0.5,24.1,12.05
58,Xena,Horne,"Calle H, nº 179",50105,Fayón,Zaragoza,2022-02-06 05:00:16,8,1.5,21.4,32.099999999999994
59,Barry,Cleveland,"Calle N, nº 336",17094,Llívia,Girona,2022-07-16 00:39:59,8,2.0,34.8,69.6
60,Josephine,Perkins,"Calle O, nº 254",40074,Escarabajosa de Cabezas,Segovia,2022-07-29 08:00:05,8,2.0,24.4,48.8
61,Bethany,Norman,"Calle L, nº 313",16043,Campillos-Paravientos,Cuenca,2022-02-21 15:55:29,8,1.0,24.0,24.0
62,Madeline,Vega,"Calle Y, nº 190",02016,Bienservida,Albacete,2022-12-08 13:01:29,8,1.25,19.7,24.625
63,Jamal,Solis,"Calle F, nº 386",49173,Rábano de Aliste,Zamora,2022-03-22 01:55:14,8,3.0,19.2,57.599999999999994
64,Gavin,Beasley,"Calle B, nº 46",43142,Sarral,Tarragona,2022-03-02 23:49:18,8,1.25,32.2,40.25
65,Clayton,Espinoza,"Calle P, nº 58",26178,Viniegra de Abajo,La Rioja,2022-11-26 05:58:34,8,1.25,31.5,39.375
66,Fuller,Chase,"Calle Q, nº 77",44148,Mezquita de Jarque,Teruel,2022-10-03 06:33:21,8,3.0,27.4,82.19999999999999
67,Ursula,Riddle,"Calle F, nº 400",28150,Torrejón de Velasco,Madrid,2022-07-08 19:11:47,8,1.0,33.3,33.3
68,Octavia,Shepard,"Calle S, nº 162",10161,Ruanes,Cáceres,2022-05-14 23:58:07,8,4.0,26.9,107.6
69,Amir,Malone,"Calle N, nº 29",29054,Fuengirola,Málaga,2022-04-08 10:11:32,8,2.0,23.6,47.2
70,Luke,Harding,"Calle I, nº 14",44226,Torrelacárcel,Teruel,2022-01-21 23:00:42,8,4.0,17.6,70.4
71,Russell,Carson,"Calle C, nº 36",01023,Elvillar/Bilar,Álava,2022-07-24 00:44:21,8,4.0,30.1,120.4
72,William,Peck,"Calle X, nº 298",45143,Quismondo,Toledo,2022-02-24 09:11:01,8,3.0,23.2,69.6
73,Isaac,Bradshaw,"Calle X, nº 323",18154,"Peza, La",Granada,2022-09-12 12:07:34,8,1.25,28.3,35.375
74,Erich,Page,"Calle T, nº 16",08111,Malla,Barcelona,2022-12-16 00:56:39,8,1.25,26.0,32.5
75,Solomon,Huber,"Calle U, nº 66",46235,Sueca,Valencia,2022-08-14 20:16:40,8,2.0,28.6,57.2
76,Judah,Rocha,"Calle W, nº 66",17036,Campdevànol,Girona,2022-10-06 05:33:53,8,2.0,24.3,48.6
77,Sierra,Guzman,"Calle S, nº 324",16191,San Lorenzo de la Parrilla,Cuenca,2022-04-08 11:50:36,8,3.0,33.3,99.89999999999999
78,Finn,Roberts,"Calle S, nº 166",37351,Villaflores,Salamanca,2022-09-20 01:37:09,8,0.5,25.0,12.5
79,Cooper,Pace,"Calle X, nº 313",29077,Parauta,Málaga,2022-11-17 00:31:40,8,1.25,26.6,33.25
80,Carolyn,Conner,"Calle D, nº 11",08174,Puigdàlber,Barcelona,2022-02-21 06:42:55,8,0.75,21.8,16.35
81,Desiree,Bush,"Calle A, nº 24",34053,Castromocho,Palencia,2022-12-03 13:08:33,8,4.0,30.0,120.0
82,Walter,Burt,"Calle P, nº 314",31123,Uharte Arakil,Navarra,2022-03-26 05:44:05,8,1.0,19.3,19.3
83,Francis,Mann,"Calle N, nº 177",18185,Ventas de Huelma,Granada,2022-07-23 14:00:39,8,1.5,24.7,37.05
84,Ingrid,Peck,"Calle N, nº 112",25118,Juncosa,Lleida,2022-05-16 17:26:56,8,3.0,23.2,69.6
85,Brenna,Simmons,"Calle Z, nº 116",30030,Murcia,Murcia,2022-02-13 11:54:09,8,4.0,34.3,137.2
86,Kevin,Holcomb,"Calle N, nº 348",45095,"Mata, La",Toledo,2022-09-21 18:43:22,8,0.5,19.8,9.9
87,Beverly,Lang,"Calle Y, nº 59",42132,Noviercas,Soria,2022-11-24 01:17:50,8,1.5,19.8,29.700000000000003
88,Troy,Carson,"Calle C, nº 212",44257,Villar del Cobo,Teruel,2022-11-06 19:36:03,8,1.25,31.8,39.75
89,Simone,Farrell,"Calle T, nº 215",50229,Ruesca,Zaragoza,2022-03-16 22:56:28,8,0.25,15.3,3.825
90,Preston,Marsh,"Calle G, nº 120",10034,Cabezabellosa,Cáceres,2022-11-23 21:08:58,8,1.0,19.2,19.2
91,Karen,Harding,"Calle G, nº 144",08118,"Masnou, El",Barcelona,2022-10-25 13:48:14,8,3.0,18.8,56.400000000000006
92,Hadassah,Gates,"Calle M, nº 143",20035,Ezkio-Itsaso,Gipuzkoa,2022-07-23 14:23:22,8,2.0,23.5,47.0
93,Dawn,Gardner,"Calle X, nº 229",25239,"Valls de Valira, Les",Lleida,2022-06-23 05:02:29,8,1.0,24.8,24.8
94,Wallace,Weber,"Calle I, nº 366",49127,Morales del Vino,Zamora,2022-03-14 21:49:08,8,1.25,26.2,32.75
95,Hilary,Horne,"Calle V, nº 140",16025,Arrancacepas,Cuenca,2022-02-25 02:36:29,8,4.0,18.0,72.0
96,Zia,Whitney,"Calle E, nº 172",23029,Chiclana de Segura,Jaén,2022-04-14 13:32:02,8,4.0,26.4,105.6
97,Charity,Frank,"Calle S, nº 387",40063,Cuéllar,Segovia,2022-12-21 19:05:25,8,5.0,21.0,105.0
98,Hall,Weiss,"Calle F, nº 118",48904,Sondika,Bizkaia,2022-01-07 17:57:26,8,0.75,16.4,12.299999999999999
99,Lionel,Rowland,"Calle F, nº 233",26126,Robres del Castillo,La Rioja,2022-08-31 12:38:54,8,1.5,22.6,33.900000000000006
100,Garrett,Holt,"Calle I, nº 172",06029,Campillo de Llerena,Badajoz,2022-08-18 19:56:41,8,0.5,18.9,9.45
101,Bethany,Parks,"Calle M, nº 102",28025,Brea de Tajo,Madrid,2022-06-18 11:16:29,8,3.0,22.7,68.1
102,Hadley,Perry,"Calle R, nº 228",04004,Albanchez,Almería,2022-12-11 02:15:22,8,4.0,25.8,103.2
103,Luke,Mclaughlin,"Calle W, nº 92",08226,Sant Martí de Tous,Barcelona,2022-01-27 01:16:03,8,0.25,17.2,4.3
104,Karina,Brown,"Calle L, nº 206",24154,Santa Elena de Jamuz,León,2022-12-27 23:34:30,8,0.5,30.5,15.25
105,Tana,Roth,"Calle C, nº 104",03113,Rojales,Alicante,2022-11-23 18:17:40,8,1.0,32.9,32.9
106,Madeline,Carney,"Calle N, nº 221",49088,Gamones,Zamora,2022-11-06 23:18:09,8,1.0,31.4,31.4
107,Tamekah,Cardenas,"Calle Y, nº 252",06005,"Albuera, La",Badajoz,2022-05-13 12:38:15,8,0.75,20.9,15.674999999999999
108,Savannah,Mcclure,"Calle X, nº 384",17078,Ger,Girona,2022-09-25 19:42:58,8,0.75,27.2,20.4
109,Hasad,Holmes,"Calle Y, nº 45",17178,Sant Pere Pescador,Girona,2022-12-15 20:09:51,8,3.0,24.5,73.5
110,Perry,Marshall,"Calle F, nº 241",32077,Sandiás,Ourense,2022-07-20 17:37:21,8,5.0,20.5,102.5
111,Baxter,Palmer,"Calle S, nº 92",37091,Casillas de Flores,Salamanca,2022-02-09 04:58:20,8,4.0,33.5,134.0
112,Nevada,Hunt,"Calle G, nº 213",45191,Villamuelas,Toledo,2022-11-26 20:39:55,8,1.5,22.8,34.2
113,Thaddeus,Gill,"Calle G, nº 114",09162,Hontoria de la Cantera,Burgos,2022-03-01 17:12:08,8,1.25,31.7,39.625
114,Malcolm,Bauer,"Calle X, nº 335",49156,Pinilla de Toro,Zamora,2022-04-27 09:43:03,8,2.0,26.4,52.8
115,Zia,Meadows,"Calle J, nº 149",16060,Casas de Benítez,Cuenca,2022-04-08 19:14:37,8,1.5,25.7,38.55
116,Keiko,Baker,"Calle J, nº 205",37168,Lagunilla,Salamanca,2022-03-30 08:34:24,8,0.25,23.5,5.875
117,Ryder,Griffith,"Calle Y, nº 104",50031,Aranda de Moncayo,Zaragoza,2022-02-01 13:55:46,8,2.0,20.7,41.4
118,Adele,Short,"Calle V, nº 334",28052,Chinchón,Madrid,2022-04-15 07:28:00,8,0.75,30.6,22.950000000000003
119,Kiona,Craft,"Calle L, nº 226",45063,Espinoso del Rey,Toledo,2022-09-30 04:37:02,8,0.5,17.1,8.55
120,Justine,Cervantes,"Calle Z, nº 298",37160,Hinojosa de Duero,Salamanca,2022-03-14 10:14:51,8,1.5,29.7,44.55
121,Clio,Bell,"Calle J, nº 307",21023,"Cerro de Andévalo, El",Huelva,2022-01-01 05:42:44,8,1.5,17.8,26.700000000000003
122,Constance,Fuentes,"Calle V, nº 22",20057,Mutiloa,Gipuzkoa,2022-02-20 19:44:35,8,0.25,34.9,8.725
123,Ori,Larson,"Calle T, nº 124",07902,"Migjorn Gran, Es",Baleares,2022-11-30 08:00:40,8,1.0,26.6,26.6
124,Micah,Buckner,"Calle U, nº 283",10010,Alcuéscar,Cáceres,2022-04-12 09:54:03,8,1.5,22.0,33.0
125,Kadeem,Pate,"Calle Y, nº 284",43079,Masllorenç,Tarragona,2022-06-15 21:20:46,8,2.0,17.3,34.6
126,Rogan,Landry,"Calle U, nº 94",37236,Pedrosillo de Alba,Salamanca,2022-08-12 02:37:16,8,1.25,33.2,41.5
127,Sandra,Young,"Calle F, nº 356",23047,"Iruela, La",Jaén,2022-10-22 14:31:07,8,0.5,21.2,10.6
128,Azalia,Pittman,"Calle W, nº 295",25903,"Guingueta d'Àneu, La",Lleida,2022-08-05 07:17:11,8,1.5,30.2,45.3
129,August,Marks,"Calle U, nº 15",42212,Villasayas,Soria,2022-08-24 09:45:42,8,0.5,27.1,13.55
130,Yen,Vincent,"Calle G, nº 156",10200,Valdelacasa de Tajo,Cáceres,2022-10-31 18:14:42,8,0.75,31.5,23.625
131,Yoshi,Avery,"Calle O, nº 115",37325,"Tornadizo, El",Salamanca,2022-12-05 16:50:30,8,1.25,33.7,42.125
132,Clare,Combs,"Calle L, nº 139",44052,Calomarde,Teruel,2022-01-19 07:15:12,8,1.5,26.9,40.349999999999994
133,Priscilla,Blake,"Calle G, nº 193",04062,Macael,Almería,2022-03-04 10:10:14,8,3.0,20.4,61.199999999999996
134,Maxwell,Carter,"Calle S, nº 294",32045,Maside,Ourense,2022-04-06 15:38:56,8,1.0,26.0,26.0
135,Athena,Michael,"Calle E, nº 35",48026,Dima,Bizkaia,2022-10-02 16:07:34,8,1.5,34.0,51.0
136,Ryder,Mack,"Calle A, nº 320",37127,Espeja,Salamanca,2022-01-31 16:52:33,1,0.5,34.8,17.4
137,Eagan,Suarez,"Calle L, nº 164",50286,Villalba de Perejil,Zaragoza,2022-11-02 03:16:39,1,1.0,31.4,31.4
138,Kimberly,Farmer,"Calle K, nº 229",48079,Errigoiti,Bizkaia,2022-02-22 12:09:00,1,0.75,24.2,18.15
139,Mona,Frank,"Calle H, nº 196",46203,"Pobla Llarga, la",Valencia,2022-05-06 22:54:48,1,4.0,20.5,82.0
140,Steel,Johnston,"Calle Q, nº 63",02048,Minaya,Albacete,2022-10-27 08:27:52,1,0.5,29.1,14.55
141,Zane,Weaver,"Calle G, nº 33",17070,Fontanilles,Girona,2022-03-25 05:20:03,1,0.5,30.7,15.35
142,Adena,Barrera,"Calle P, nº 193",26018,Arnedo,La Rioja,2022-09-11 20:31:36,1,4.0,24.4,97.6
143,Meredith,Velasquez,"Calle D, nº 301",09433,Villagalijo,Burgos,2022-06-21 07:08:59,1,0.75,20.7,15.524999999999999
144,August,Jarvis,"Calle D, nº 395",04069,Olula del Río,Almería,2022-10-14 19:36:25,1,1.25,17.7,22.125
145,Diana,Rodriguez,"Calle G, nº 376",48051,Lanestosa,Bizkaia,2022-08-23 03:42:44,1,1.5,23.8,35.7
146,Penelope,Adkins,"Calle I, nº 121",16251,Villanueva de la Jara,Cuenca,2022-10-11 08:05:28,1,1.25,23.5,29.375
147,Sean,Roy,"Calle U, nº 111",42082,Estepa de San Juan,Soria,2022-04-16 23:18:13,1,0.25,15.2,3.8
148,Tucker,Dillon,"Calle A, nº 195",03117,Sanet y Negrals,Alicante,2022-12-02 20:52:22,1,5.0,27.4,137.0
149,Justin,Goodwin,"Calle Z, nº 133",28141,Sevilla la Nueva,Madrid,2022-08-09 01:26:40,1,1.5,19.5,29.25
150,Adam,Barrett,"Calle K, nº 193",27045,Pedrafita do Cebreiro,Lugo,2022-12-20 09:28:33,1,0.75,30.4,22.799999999999997
151,Axel,Houston,"Calle B, nº 77",18005,Albuñán,Granada,2022-03-14 15:11:21,1,0.75,25.3,18.975
152,Howard,Ortiz,"Calle R, nº 10",16906,"Valdecolmenas, Los",Cuenca,2022-04-06 21:19:59,1,5.0,30.9,154.5
153,Ifeoma,House,"Calle W, nº 291",07064,"Castell, Es",Baleares,2022-06-28 17:19:37,1,1.0,15.1,15.1
154,Kane,Brady,"Calle D, nº 55",24082,Hospital de Órbigo,León,2022-12-28 10:40:29,1,1.25,34.9,43.625
155,Colton,Hill,"Calle A, nº 116",49059,Cuelgamures,Zamora,2022-11-11 22:01:21,1,0.75,21.6,16.200000000000003
156,Dorian,Schultz,"Calle N, nº 301",03010,Alfafara,Alicante,2022-07-24 10:06:33,1,2.0,31.9,63.8
157,Zenaida,Jefferson,"Calle W, nº 319",46065,Beniparrell,Valencia,2022-04-17 22:32:17,1,0.25,22.6,5.65
158,Laura,Lewis,"Calle D, nº 26",25057,"Bòrdes, Es",Lleida,2022-07-19 21:03:31,1,4.0,17.8,71.2
159,Armando,Sparks,"Calle L, nº 22",19226,Prádena de Atienza,Guadalajara,2022-07-28 06:44:05,1,1.0,31.5,31.5
160,Jack,Lewis,"Calle J, nº 34",47032,Camporredondo,Valladolid,2022-09-18 06:09:59,1,0.5,16.7,8.35
161,Nevada,Holland,"Calle K, nº 168",43907,"Canonja, La",Tarragona,2022-08-08 21:30:09,1,1.0,16.8,16.8
162,Jemima,Clayton,"Calle X, nº 237",48092,Bedia,Bizkaia,2022-12-24 01:46:38,1,2.0,28.2,56.4
163,Lee,Bartlett,"Calle K, nº 51",48045,Güeñes,Bizkaia,2022-10-28 03:52:10,1,4.0,28.4,113.6
164,Baxter,Lloyd,"Calle B, nº 54",28117,Prádena del Rincón,Madrid,2022-05-04 11:53:51,1,3.0,19.0,57.0
165,Jennifer,Hunt,"Calle J, nº 283",16034,Belmontejo,Cuenca,2022-09-06 18:27:16,1,0.5,32.4,16.2
166,Elizabeth,Guzman,"Calle B, nº 313",50277,Valtorres,Zaragoza,2022-04-11 03:47:22,1,1.0,31.2,31.2
167,Steel,Atkinson,"Calle H, nº 114",09223,Monasterio de la Sierra,Burgos,2022-04-06 16:59:57,1,0.75,25.9,19.424999999999997
168,Herman,Fisher,"Calle S, nº 316",42202,Velilla de los Ajos,Soria,2022-10-24 14:53:28,1,2.0,16.1,32.2
169,Felix,Hobbs,"Calle X, nº 363",46002,Ador,Valencia,2022-12-26 08:41:05,1,4.0,16.9,67.6
170,Buffy,Navarro,"Calle A, nº 192",21063,San Bartolomé de la Torre,Huelva,2022-07-13 12:43:41,1,1.25,26.1,32.625
171,Yuli,Rivera,"Calle O, nº 66",37184,Masueco,Salamanca,2022-09-13 01:01:59,1,1.25,33.6,42.0
172,Regan,Potts,"Calle E, nº 185",08052,Castellar de n'Hug,Barcelona,2022-09-15 18:33:26,1,5.0,27.7,138.5
173,Sybil,Saunders,"Calle G, nº 381",28109,Pelayos de la Presa,Madrid,2022-11-13 00:43:56,1,1.0,31.4,31.4
174,Brady,Collins,"Calle W, nº 93",19066,Cañizar,Guadalajara,2022-09-16 13:28:32,1,2.0,31.8,63.6
175,Jeanette,Stein,"Calle O, nº 89",37244,Peñacaballera,Salamanca,2022-03-08 13:46:25,1,1.25,21.3,26.625
176,Cairo,Meadows,"Calle P, nº 296",31083,Echarri/Etxarri,Navarra,2022-05-23 20:22:33,1,3.0,16.3,48.900000000000006
177,Stuart,Klein,"Calle A, nº 285",11011,"Bosque, El",Cádiz,2022-06-20 14:16:57,1,0.25,25.1,6.275
178,Cruz,Compton,"Calle C, nº 142",05140,Muñomer del Peco,Ávila,2022-04-15 08:35:41,1,1.0,28.4,28.4
179,Derek,Garrett,"Calle T, nº 312",16211,Torrejoncillo del Rey,Cuenca,2022-07-01 00:15:21,1,1.5,17.2,25.799999999999997
180,Noble,Finch,"Calle C, nº 317",17163,Sant Gregori,Girona,2022-12-16 06:43:48,1,1.0,31.3,31.3
181,Jaden,Stark,"Calle Q, nº 85",35025,Tejeda,Las Palmas,2022-04-21 16:48:31,1,0.5,23.2,11.6
182,Herrod,Contreras,"Calle L, nº 1",37176,Madroñal,Salamanca,2022-11-18 17:02:41,1,0.75,24.4,18.299999999999997
183,Chanda,Hull,"Calle K, nº 114",09018,Aranda de Duero,Burgos,2022-07-18 20:08:17,1,1.25,19.6,24.5
184,Christian,Cobb,"Calle B, nº 289",08004,Alpens,Barcelona,2022-02-25 12:28:47,1,0.25,22.3,5.575
185,Dane,Hunt,"Calle D, nº 50",40103,"Huertos, Los",Segovia,2022-07-23 09:49:45,1,3.0,35.0,105.0
186,Madison,Bryan,"Calle P, nº 97",05174,Orbita,Ávila,2022-04-20 06:09:32,1,1.25,18.3,22.875
187,Buckminster,O'donnell,"Calle D, nº 269",16264,Villarejo de Fuentes,Cuenca,2022-03-22 06:24:56,1,3.0,32.2,96.60000000000001
188,Roth,Dyer,"Calle H, nº 239",37054,"Bodón, El",Salamanca,2022-07-06 05:08:47,1,0.25,28.0,7.0
189,Jin,Mckenzie,"Calle C, nº 342",28099,Navas del Rey,Madrid,2022-08-24 14:37:10,1,2.0,20.4,40.8
190,Shafira,Watts,"Calle T, nº 170",05247,"Torre, La",Ávila,2022-01-08 06:32:52,1,4.0,25.4,101.6
191,Oscar,Carey,"Calle F, nº 285",34045,Capillas,Palencia,2022-11-21 19:38:53,1,1.0,25.0,25.0
192,Grant,Mcconnell,"Calle T, nº 297",25164,Penelles,Lleida,2022-05-28 07:44:20,1,5000.0,22.9,114500.0
193,Keiko,Pena,"Calle Y, nº 84",37018,Aldeanueva de la Sierra,Salamanca,2022-06-06 15:40:36,1,1500.0,31.0,46500.0
194,Madeline,Stone,"Calle I, nº 139",21007,Aracena,Huelva,2022-05-22 07:41:47,1,1500.0,25.9,38850.0
195,Beatrice,Harrison,"Calle M, nº 160",04054,Íllar,Almería,2022-12-08 17:02:06,1,3.0,18.2,54.599999999999994
196,Nolan,Bryant,"Calle Y, nº 166",20081,Zumaia,Gipuzkoa,2022-06-30 16:19:07,1,1.25,26.4,33.0
197,Dante,Pacheco,"Calle D, nº 41",31139,Lana,Navarra,2022-03-31 19:23:24,1,0.25,21.2,5.3
198,Colin,Fowler,"Calle F, nº 333",42061,Cidones,Soria,2022-06-09 19:35:21,1,0.25,22.8,5.7
199,Asher,Solomon,"Calle R, nº 198",08300,Viladecavalls,Barcelona,2022-09-15 00:57:46,1,4.0,20.5,82.0
200,Macon,Grimes,"Calle D, nº 34",22223,Sopeira,Huesca,2022-10-19 07:31:16,1,2.0,16.2,32.4
201,Clayton,Russo,"Calle R, nº 18",18015,Alicún de Ortega,Granada,2022-03-29 06:09:25,1,0.5,34.6,17.3
202,Harriet,Pruitt,"Calle P, nº 385",09387,Torregalindo,Burgos,2022-04-17 02:24:14,1,5.0,22.2,111.0
203,Orson,Walton,"Calle O, nº 108",03098,Orxeta,Alicante,2022-05-02 02:08:25,1,0.25,21.6,5.4
204,Darius,Gould,"Calle R, nº 262",17046,Castellfollit de la Roca,Girona,2022-12-30 20:09:29,1,2.0,26.3,52.6
205,Sean,Ross,"Calle I, nº 134",06138,Valdetorres,Badajoz,2022-01-23 04:19:54,1,1.5,27.6,41.400000000000006
206,Sade,Riggs,"Calle C, nº 24",03083,Jijona/Xixona,Alicante,2022-01-08 10:41:56,1,0.75,18.1,13.575000000000001
207,Rowan,Hardin,"Calle O, nº 105",31261,Yesa,Navarra,2022-07-21 16:16:52,1,0.5,33.6,16.8
208,Carolyn,Pollard,"Calle U, nº 22",31200,Oteiza,Navarra,2022-10-13 18:38:45,1,1.0,18.8,18.8
